Program,Retained Report ID,Candidate Report ID,Candidate Report Number,Subawardee UEI,Subawardee Vendor Name,Prime PIID,Subaward Date,Subaward Amount $M
virginia,20692203,20692202,8c20218a-fcb9-11ef-8e2a-e7034f2d18cd,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",N0002412C2115,2018-09-25,0.034440
virginia,20692201,20692200,8c201c3a-fcb9-11ef-8e2a-e7034f2d18cd,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",N0002412C2115,2018-10-10,0.031914
virginia,20692208,20692207,8c202e96-fcb9-11ef-8e2a-e7034f2d18cd,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",N0002412C2115,2018-10-16,0.036887
virginia,20750526,20750525,bc99c712-fcb9-11ef-8e2a-e7034f2d18cd,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",N0002416C2111,2019-01-09,0.296900
virginia,20945704,20945703,6dce2ffa-fcba-11ef-8e2a-e7034f2d18cd,MME9X24LUXP1,"ACROMAG, INCORPORATED",N0002417C2100,2019-01-07,0.062734
virginia,20750613,20750612,bc9aafba-fcb9-11ef-8e2a-e7034f2d18cd,MYDWUALGXBL5,BIOMATED SOLUTIONS LLC,N0002416C2111,2018-11-08,0.049950
virginia,20693114,20693113,8f7691a2-fcb9-11ef-8e2a-e7034f2d18cd,MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,N0002412C2115,2018-03-23,0.035547
virginia,20950557,20950556,7168c99a-fcba-11ef-8e2a-e7034f2d18cd,N1PJDANWUJ61,SCOT FORGE COMPANY,N0002417C2100,2017-09-13,0.552784
virginia,20950584,20950583,71690ebe-fcba-11ef-8e2a-e7034f2d18cd,N1PJDANWUJ61,SCOT FORGE COMPANY,N0002417C2100,2017-09-19,1.046992
virginia,20950417,20950416,71673d96-fcba-11ef-8e2a-e7034f2d18cd,N1PJDANWUJ61,SCOT FORGE COMPANY,N0002417C2100,2017-10-05,0.108968
virginia,20950568,20950567,7168e5ec-fcba-11ef-8e2a-e7034f2d18cd,N1PJDANWUJ61,SCOT FORGE COMPANY,N0002417C2100,2018-08-01,0.693584
virginia,20950412,20950411,7167309e-fcba-11ef-8e2a-e7034f2d18cd,N1PJDANWUJ61,SCOT FORGE COMPANY,N0002417C2100,2019-01-16,0.106864
virginia,20751055,20751054,bd5296e8-fcb9-11ef-8e2a-e7034f2d18cd,N5H9R8EN75V9,"MOTION INDUSTRIES, INC.",N0002416C2111,2018-11-09,0.028076
virginia,20692588,20692587,8c2464a2-fcb9-11ef-8e2a-e7034f2d18cd,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,N0002412C2115,2018-01-15,0.029376
virginia,20692591,20692590,8c246dd0-fcb9-11ef-8e2a-e7034f2d18cd,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,N0002412C2115,2018-01-24,0.044937
virginia,20692340,20692339,8c21b0e0-fcb9-11ef-8e2a-e7034f2d18cd,NGMSB6M2QKA4,"ASA ENVIRONMENTAL PRODUCTS, INC.",N0002412C2115,2018-01-10,0.045822
virginia,20750984,20750983,bd51a4c2-fcb9-11ef-8e2a-e7034f2d18cd,NMHFLDYJJ4C5,LOCKHEED MARTIN CORPORATION,N0002416C2111,2019-10-10,0.298035
